Brand,Model,Year,Age,Transmission,Owner,FuelType,PostedDate
Chevrolet,Cruze,2013,11,Automatic,first,Diesel,24-Nov
Skoda,Superb,2011,13,Automatic,second,Petrol,24-Nov
Mahindra,Marazzo,2020,4,Manual,second,Diesel,24-Nov
BMW,5 Series,2016,8,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift,2019,5,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift,2022,2,Automatic,first,Petrol,24-Nov
Mercedes-Benz,C-Class,2014,10,Automatic,second,Diesel,24-Nov
Honda,City,2021,3,Automatic,first,Petrol,24-Nov
Skoda,Rapid,2021,3,Automatic,first,Petrol,24-Nov
Mahindra,Scorpio,2020,4,Automatic,first,Diesel,24-Nov
Hyundai,i20,2015,9,Manual,first,Diesel,24-Nov
Maruti Suzuki,Baleno,2015,9,Manual,second,Diesel,24-Nov
Honda,WRV,2017,7,Automatic,second,Petrol,24-Nov
MG,Hector Plus,2023,1,Automatic,first,Petrol,24-Nov
Honda,City,2014,10,Manual,first,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2019,5,Automatic,second,Petrol,24-Nov
Hyundai,Verna,2018,6,Automatic,first,Petrol,24-Nov
Hyundai,Santro,2007,17,Manual,second,Petrol,24-Nov
Toyota,Yaris,2018,6,Automatic,second,Petrol,24-Nov
Honda,Amaze,2014,10,Automatic,first,Petrol,24-Jul
Renault,Duster,2017,7,Manual,first,Diesel,24-Nov
Toyota,Fortuner,2018,6,Automatic,second,Diesel,24-Nov
Mercedes-Benz,GLC,2017,7,Automatic,second,Diesel,24-Nov
Mahindra,XUV500,2018,6,Manual,second,Diesel,24-Sep
Audi,Q5,2011,13,Automatic,second,Diesel,24-Sep
Hyundai,i20,2012,12,Manual,second,Diesel,24-Nov
Toyota,Corolla Altis,2011,13,Manual,second,Petrol,24-Nov
Hyundai,Creta,2020,4,Manual,first,Diesel,24-Nov
Mercedes-Benz,E-Class,2009,15,Automatic,second,Diesel,24-Nov
Renault,Lodgy,2016,8,Manual,first,Diesel,24-Nov
Mercedes-Benz,M-Class,2014,10,Automatic,first,Diesel,24-Nov
Tata,Nexon,2018,6,Automatic,first,Petrol,24-Nov
Toyota,Fortuner,2020,4,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift,2015,9,Manual,second,Diesel,24-Nov
Mahindra,Thar,2022,2,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift,2022,2,Manual,second,Petrol,24-Nov
Tata,Harrier,2020,4,Manual,first,Diesel,24-Nov
Skoda,Kushaq,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,XL6,2021,3,Automatic,first,Petrol,24-Nov
Honda,City,2016,8,Manual,first,Diesel,24-Oct
Maruti Suzuki,maruti-suzuki-dzire,2013,11,Manual,second,Petrol,24-Nov
Renault,Duster,2014,10,Manual,first,Diesel,24-Nov
Maruti Suzuki,Zen-Estilo,2004,20,Manual,second,Diesel,24-Nov
Mercedes-Benz,GLE Class,2024,0,Automatic,first,Diesel,24-Nov
MG,Hector,2023,1,Manual,first,Diesel,24-Nov
Maruti Suzuki,800,2008,16,Manual,second,Petrol,24-Nov
Maruti Suzuki,Grand Vitara,2024,0,Manual,first,Petrol,24-Nov
Maruti Suzuki,Alto-800,2022,2,Manual,second,Petrol,24-Nov
Maruti Suzuki,Wagon-R,2007,17,Manual,second,Petrol,24-Nov
Mahindra,Scorpio,2016,8,Manual,first,Diesel,24-Nov
Skoda,Superb,2016,8,Automatic,second,Petrol,24-Nov
Honda,CRV,2013,11,Automatic,second,Petrol,24-Nov
Honda,Amaze,2013,11,Manual,first,Petrol,24-Nov
Honda,Amaze,2022,2,Manual,first,Petrol,24-Nov
Toyota,Fortuner,2021,3,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Celerio,2018,6,Automatic,first,Petrol,24-Nov
Toyota,Innova Crysta,2016,8,Automatic,second,Diesel,24-Oct
Ford,Figo Aspire,2019,5,Manual,first,Diesel,24-Nov
Tata,Sumo Grande MK II,2013,11,Manual,second,Diesel,24-Nov
Hyundai,Grand i10,2018,6,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Alto-800,2021,3,Manual,second,Petrol,24-Nov
Renault,KWID,2016,8,Manual,first,Petrol,24-Nov
Hyundai,Creta,2021,3,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Alto-K10,2019,5,Automatic,second,Petrol,24-Nov
Audi,A6,2015,9,Automatic,first,Diesel,24-Nov
Jeep,Compass,2018,6,Manual,second,Diesel,24-Nov
Hyundai,i20,2011,13,Manual,second,Petrol,24-Nov
Maruti Suzuki,Wagon R,2018,6,Automatic,first,Petrol,24-Nov
Honda,City,2016,8,Manual,first,Diesel,24-Oct
Mercedes-Benz,V-Class,2019,5,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Celerio,2017,7,Automatic,second,Petrol,24-Oct
Volvo,S80,2015,9,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2018,6,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Alto-800,2014,10,Manual,first,Petrol,24-Nov
Honda,Brio,2013,11,Manual,first,Petrol,24-Oct
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift,2016,8,Manual,second,Diesel,24-Nov
Maruti Suzuki,Ertiga,2013,11,Manual,second,Diesel,24-Nov
Honda,Amaze,2021,3,Automatic,second,Diesel,24-Nov
Mahindra,Verito,2013,11,Manual,second,Diesel,24-Nov
Hyundai,Creta,2019,5,Automatic,first,Petrol,24-Nov
Honda,Brio,2012,12,Automatic,first,Petrol,24-Nov
Toyota,Fortuner,2012,12,Automatic,second,Diesel,24-Nov
Hyundai,i10,2008,16,Manual,first,Petrol,24-Nov
Mahindra,Thar,2024,0,Manual,first,Diesel,24-Nov
Nissan,Terrano,2017,7,Automatic,second,Diesel,24-Nov
Mercedes-Benz,GL-Class,2018,6,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Grand Vitara,2023,1,Manual,first,Petrol,24-Nov
Maruti Suzuki,Ignis,2019,5,Manual,first,Petrol,24-Nov
Honda,City ZX,2008,16,Manual,second,Petrol,24-Oct
Volkswagen,Polo,2020,4,Manual,first,Petrol,24-Nov
Renault,KWID,2016,8,Automatic,second,Petrol,24-Nov
Volvo,XC 90,2009,15,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Celerio X,2018,6,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Vitara-Brezza,2017,7,Manual,second,Diesel,24-Nov
Mahindra,XUV500,2016,8,Manual,second,Diesel,24-Nov
Honda,City,2022,2,Automatic,first,Petrol,24-Oct
Tata,Nexon,2020,4,Automatic,first,Petrol,24-Nov
Toyota,Innova,2012,12,Manual,first,Diesel,24-Nov
Toyota,Fortuner,2015,9,Manual,second,Diesel,24-Nov
Kia,Sonet,2020,4,Automatic,first,Petrol,24-Nov
Toyota,Innova Crysta,2018,6,Automatic,second,Diesel,24-Nov
Volkswagen,Polo,2021,3,Automatic,first,Petrol,24-Nov
Hyundai,EON,2017,7,Manual,first,Petrol,24-Nov
Maruti Suzuki,Eeco,2023,1,Manual,second,Petrol,24-Nov
Ford,Figo Aspire,2016,8,Automatic,second,Petrol,24-Nov
Kia,Seltos,2021,3,Manual,first,Petrol,24-Nov
Maruti Suzuki,Celerio,2015,9,Automatic,second,Petrol,24-Apr
Volkswagen,Polo,2011,13,Manual,second,Diesel,24-Nov
BMW,7 Series,2009,15,Automatic,first,Petrol,24-Nov
Mahindra,XUV500,2015,9,Manual,first,Diesel,24-Nov
Hyundai,Verna,2018,6,Manual,second,Petrol,24-Nov
Mercedes-Benz,GLE,2022,2,Automatic,first,Petrol,24-Nov
BMW,3 Series GT,2019,5,Automatic,first,Diesel,24-Oct
Honda,City,2014,10,Automatic,second,Petrol,24-Nov
Mercedes-Benz,CLA,2015,9,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Vitara-Brezza,2020,4,Manual,first,Petrol,24-Nov
Mahindra,Bolero Power Plus,2011,13,Manual,second,Diesel,24-Nov
Honda,Jazz,2015,9,Automatic,second,Petrol,24-Nov
Audi,A4,2012,12,Automatic,first,Petrol,24-Nov
Jeep,Compass,2018,6,Automatic,first,Petrol,24-Nov
Kia,Sonet,2021,3,Automatic,first,Petrol,24-Nov
Mercedes-Benz,CLA,2019,5,Automatic,second,Diesel,24-Nov
Volkswagen,Polo GTI,2015,9,Automatic,first,Petrol,24-Nov
Mahindra,Thar,2018,6,Manual,first,Diesel,24-Nov
Tata,Tigor,2019,5,Manual,first,Petrol,24-Nov
BMW,7 Series,2013,11,Automatic,second,Diesel,24-Nov
Renault,KWID,2021,3,Manual,first,Petrol,24-Oct
Maruti Suzuki,Swift-Dzire,2010,14,Manual,first,Diesel,24-Oct
Toyota,Fortuner,2015,9,Automatic,first,Diesel,24-Nov
BMW,5 Series,2011,13,Automatic,first,Diesel,24-Nov
Hyundai,Verna,2021,3,Manual,first,Petrol,24-Nov
Kia,Seltos,2021,3,Automatic,first,Petrol,24-Nov
Renault,Kiger,2022,2,Automatic,first,Petrol,24-Sep
Maruti Suzuki,Swift-Dzire,2012,12,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift,2016,8,Manual,second,Petrol,24-Nov
BMW,X7,2020,4,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ertiga,2018,6,Automatic,second,Petrol,24-Nov
Ford,Fiesta,2009,15,Manual,second,Diesel,24-Nov
Skoda,Slavia,2022,2,Automatic,first,Petrol,24-Nov
Honda,City ZX,2007,17,Manual,second,Petrol,24-Nov
Mahindra,Scorpio Classic,2020,4,Manual,second,Diesel,24-Nov
Renault,Triber,2020,4,Manual,first,Petrol,24-Oct
Toyota,Camry,2013,11,Automatic,first,Petrol,24-Nov
Mahindra,XUV700,2022,2,Automatic,first,Petrol,24-Nov
Hyundai,Creta,2019,5,Automatic,second,Petrol,24-Nov
Kia,Sonet,2020,4,Manual,first,Petrol,24-Nov
Toyota,Etios,2019,5,Manual,second,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2021,3,Manual,first,Petrol,24-Nov
Maruti Suzuki,Vitara Brezza,2020,4,Manual,first,Petrol,24-Sep
Toyota,Etios,2017,7,Manual,second,Diesel,24-Nov
Maruti Suzuki,Alto-800,2022,2,Manual,first,Petrol,24-Nov
Volkswagen,Polo,2017,7,Manual,first,Petrol,24-Nov
Honda,City,2016,8,Automatic,second,Petrol,24-Nov
Hyundai,Verna,2008,16,Manual,first,Diesel,24-Nov
Hyundai,Creta,2017,7,Automatic,first,Petrol,24-Sep
Maruti Suzuki,Swift-Dzire,2015,9,Manual,first,Diesel,24-Nov
Force,Motors FM Trax Cruiser,2024,0,Manual,first,Diesel,24-Nov
Maruti Suzuki,Baleno,2021,3,Manual,first,Petrol,24-Nov
Hyundai,Creta,2017,7,Automatic,first,Petrol,24-Oct
Maruti Suzuki,Alto 800,2015,9,Manual,second,Petrol,24-Nov
Kia,Seltos,2021,3,Automatic,first,Petrol,24-Jul
Maruti Suzuki,Ertiga,2018,6,Manual,first,Diesel,24-Nov
Jeep,Meridian,2023,1,Automatic,first,Diesel,24-Nov
Honda,Civic,2019,5,Automatic,second,Petrol,24-Nov
Tata,Nexon,2019,5,Automatic,first,Diesel,24-Nov
Mercedes-Benz,E-Class,2013,11,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Estilo,2007,17,Manual,first,Petrol,24-Nov
Mahindra,XUV300,2019,5,Manual,second,Diesel,24-Nov
Mini,Cooper S,2017,7,Automatic,second,Petrol,24-Nov
Hyundai,Xcent,2020,4,Manual,first,Petrol,24-Nov
Mahindra,Scorpio,2017,7,Manual,second,Diesel,24-Nov
Tata,Indigo Cs,2009,15,Manual,second,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2015,9,Manual,first,Diesel,24-Nov
Audi,A3,2015,9,Automatic,second,Diesel,24-Nov
Land Rover,Range Rover Evoque,2020,4,Automatic,first,Diesel,24-Oct
Honda,City,2013,11,Manual,second,Petrol,24-Nov
Honda,Amaze,2021,3,Automatic,second,Diesel,24-Nov
Renault,KWID,2016,8,Manual,second,Petrol,24-Oct
Honda,City,2016,8,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift,2015,9,Manual,second,Diesel,24-Nov
Mercedes-Benz,C-Class,2018,6,Automatic,second,Diesel,24-Nov
Toyota,Innova Crysta,2016,8,Automatic,first,Diesel,24-Nov
Maruti Suzuki,XL6,2019,5,Automatic,first,Petrol,24-Nov
Mercedes-Benz,GLC,2020,4,Automatic,second,Diesel,24-Nov
Tata,Nexon,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Celerio,2015,9,Automatic,second,Petrol,24-Nov
Hyundai,Santro Xing,2010,14,Manual,second,Petrol,24-Nov
Tata,Indigo Ecs,2014,10,Manual,second,Diesel,24-Nov
Honda,Amaze,2016,8,Manual,second,Petrol,24-Nov
Hyundai,Creta,2017,7,Manual,second,Petrol,24-Nov
Toyota,Innova,2011,13,Manual,second,Diesel,24-Nov
BMW,5 Series,2018,6,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Ritz,2014,10,Manual,second,Petrol,24-Nov
Maruti Suzuki,Vitara-Brezza,2020,4,Manual,first,Diesel,24-Nov
Toyota,Innova Crysta,2016,8,Automatic,first,Diesel,24-Aug
Maruti Suzuki,Swift,2012,12,Manual,second,Diesel,24-Nov
Kia,Sonet,2024,0,Manual,first,Petrol,24-Nov
Renault,KWID,2017,7,Automatic,first,Petrol,24-Nov
Toyota,Innova,2010,14,Manual,second,Diesel,24-Oct
Maruti Suzuki,Swift-Dzire,2014,10,Manual,second,Diesel,24-Nov
Land Rover,Range Rover Evoque,2013,11,Automatic,second,Diesel,24-Oct
Hyundai,i20 Active,2016,8,Manual,first,Petrol,24-Nov
Hyundai,i20,2017,7,Manual,second,Petrol,24-Nov
Toyota,Innova Crysta,2017,7,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Alto-K10,2018,6,Automatic,first,Petrol,24-Nov
Mercedes-Benz,GLE Class,2017,7,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2015,9,Manual,second,Diesel,24-Nov
Mercedes-Benz,E-Class,2009,15,Automatic,second,Diesel,24-Nov
Hyundai,Fluidic Verna,2013,11,Manual,second,Petrol,24-Nov
Hyundai,Xcent,2015,9,Manual,first,Petrol,24-Nov
Hyundai,i10,2012,12,Manual,second,Petrol,24-Nov
Mahindra,XUV500,2015,9,Manual,first,Diesel,24-Nov
Audi,Q5,2019,5,Automatic,second,Diesel,24-Nov
BMW,3 Series,2013,11,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Brezza,2017,7,Manual,second,Diesel,24-Nov
Toyota,Etios,2013,11,Manual,second,Petrol,24-Nov
Maruti Suzuki,Wagon-R-1-0,2009,15,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift,2011,13,Manual,first,Petrol,24-Nov
Porsche,Cayenne,2018,6,Automatic,first,Diesel,24-Nov
Tata,Hexa,2018,6,Manual,first,Diesel,24-Nov
Maruti Suzuki,Eeco,2018,6,Manual,first,Petrol,24-Nov
Ford,Ecosport,2017,7,Manual,second,Petrol,24-Nov
Hyundai,Creta,2019,5,Manual,first,Diesel,24-Nov
BMW,X5,2019,5,Automatic,first,Diesel,24-Oct
Maruti Suzuki,Swift-Dzire,2015,9,Manual,second,Petrol,24-Nov
Nissan,Sunny,2011,13,Manual,second,Petrol,24-Nov
Toyota,Innova Crysta,2019,5,Automatic,second,Diesel,24-Nov
BMW,7 Series,2016,8,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift,2016,8,Manual,first,Petrol,24-Nov
Audi,Q7,2014,10,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Baleno,2017,7,Manual,second,Diesel,24-Nov
Mercedes-Benz,E-Class,2014,10,Automatic,second,Petrol,24-Nov
Ford,Ecosport,2018,6,Manual,first,Diesel,24-Aug
Land Rover,Range Rover Evoque,2021,3,Automatic,second,Diesel,24-Oct
Maruti Suzuki,maruti-suzuki-dzire,2020,4,Manual,first,Petrol,24-Nov
Tata,Sumo Gold,2013,11,Automatic,second,Diesel,24-Nov
Hyundai,Eon,2017,7,Manual,second,Petrol,24-Nov
Maruti Suzuki,Vitara-Brezza,2018,6,Manual,first,Diesel,24-Nov
Audi,A6,2016,8,Automatic,second,Diesel,24-Nov
Honda,Amaze,2014,10,Manual,first,Diesel,24-Nov
Hyundai,Creta,2016,8,Automatic,second,Diesel,24-Oct
Maruti Suzuki,Brezza,2019,5,Automatic,second,Diesel,24-Nov
Toyota,Etios Liva,2012,12,Manual,second,Diesel,24-Nov
Toyota,Etios,2012,12,Manual,second,Diesel,24-Oct
Maruti Suzuki,Wagon R,2017,7,Automatic,first,Petrol,24-Nov
Toyota,Innova Crysta,2017,7,Automatic,first,Diesel,24-Nov
Volkswagen,VentoTest,2012,12,Manual,second,Petrol,24-Nov
Mahindra,Thar,2021,3,Automatic,first,Diesel,24-Oct
Maruti Suzuki,Dzire,2018,6,Automatic,second,Petrol,24-Nov
Renault,Pulse,2012,12,Manual,first,Diesel,24-Sep
Land Rover,Range Rover Velar,2018,6,Automatic,first,Petrol,24-Nov
Toyota,Innova Crysta,2018,6,Manual,second,Diesel,24-Nov
Maruti Suzuki,Ritz,2015,9,Manual,second,Petrol,24-Nov
Maruti Suzuki,Ciaz,2016,8,Manual,first,Diesel,24-Nov
Chevrolet,OptraSRV,2006,18,Automatic,second,Petrol,24-Nov
Skoda,Rapid,2012,12,Manual,first,Diesel,24-Nov
Hyundai,Creta,2019,5,Automatic,second,Petrol,24-Nov
Honda,CRV,2013,11,Automatic,second,Petrol,24-Nov
Ford,Endeavour,2021,3,Automatic,second,Diesel,24-Nov
Tata,Indica V2,2007,17,Manual,second,Petrol,24-Nov
Mahindra,Thar,2020,4,Manual,first,Diesel,24-Nov
Kia,Seltos,2020,4,Manual,first,Diesel,24-Nov
Hyundai,Venue,2021,3,Manual,first,Petrol,24-Nov
Toyota,Innova,2014,10,Manual,second,Diesel,24-Nov
Mahindra,Scorpio Classic,2023,1,Manual,first,Diesel,24-Nov
BMW,X6,2015,9,Automatic,second,Diesel,24-Nov
Skoda,Rapid,2018,6,Manual,first,Diesel,24-Nov
Mercedes-Benz,E-Class,2014,10,Automatic,second,Petrol,24-Nov
Toyota,Innova Crysta,2018,6,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Swift,2014,10,Manual,second,Petrol,24-Nov
Maruti Suzuki,Swift,2020,4,Manual,first,Petrol,24-Nov
Maruti Suzuki,Celerio,2015,9,Automatic,second,Petrol,24-Nov
Mercedes-Benz,S-Class,2011,13,Automatic,second,Petrol,24-Nov
Honda,City,2011,13,Automatic,second,Petrol,24-Nov
Hyundai,Elite i20,2017,7,Manual,first,Diesel,24-Sep
Volkswagen,Vento,2016,8,Automatic,first,Diesel,24-Nov
Hyundai,Venue,2022,2,Manual,first,Petrol,24-Nov
Hyundai,Santa Fe,2015,9,Automatic,second,Diesel,24-Nov
Toyota,Fortuner,2014,10,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Ertiga,2016,8,Manual,second,Diesel,24-Nov
Mahindra,XUV500,2012,12,Manual,second,Diesel,24-Nov
Toyota,Innova Crysta,2021,3,Automatic,first,Diesel,24-Nov
Honda,Jazz,2017,7,Automatic,first,Petrol,24-Nov
BMW,5 Series,2018,6,Automatic,first,Diesel,24-Oct
Maruti Suzuki,Wagon-R,2015,9,Manual,first,Petrol,24-Nov
BMW,3 Series,2013,11,Automatic,first,Diesel,24-Nov
Mini,Cooper 5 DOOR,2014,10,Automatic,first,Diesel,24-Nov
Audi,A4,2013,11,Automatic,first,Diesel,24-Oct
Maruti Suzuki,Omni,2019,5,Manual,second,Petrol,24-Nov
Renault,KWID,2017,7,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Ciaz,2016,8,Automatic,first,Petrol,24-Nov
Renault,Duster,2015,9,Manual,first,Diesel,24-Nov
Maruti Suzuki,Ertiga,2017,7,Manual,second,Diesel,24-Nov
Maruti Suzuki,Ertiga,2016,8,Manual,first,Diesel,24-Nov
Jeep,Compass,2020,4,Automatic,first,Diesel,24-Nov
Nissan,Magnite,2021,3,Manual,first,Petrol,24-Nov
Hyundai,Creta,2018,6,Manual,first,Diesel,24-Nov
Honda,WRV,2023,1,Manual,first,Petrol,24-Nov
Hyundai,Elite i20,2019,5,Manual,first,Petrol,24-Nov
Maruti Suzuki,Baleno,2022,2,Manual,first,Petrol,24-Nov
Skoda,Superb,2016,8,Automatic,first,Diesel,24-Nov
Ford,Figo,2012,12,Manual,second,Diesel,24-Nov
Hyundai,Venue,2019,5,Manual,first,Diesel,24-Nov
Tata,Indigo Ecs,2015,9,Manual,second,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2014,10,Manual,second,Petrol,24-Nov
Mahindra,KUV 100,2017,7,Manual,first,Petrol,24-Nov
Maruti Suzuki,Wagon-R,2006,18,Manual,second,Petrol,24-Nov
Hyundai,i20,2016,8,Manual,first,Petrol,24-Nov
Honda,Amaze,2022,2,Manual,first,Petrol,24-Nov
Maruti Suzuki,Baleno,2020,4,Manual,first,Petrol,24-Nov
Maruti Suzuki,Wagon-R,2018,6,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Alto-K10,2015,9,Automatic,first,Petrol,24-Nov
Honda,City,2011,13,Automatic,second,Petrol,24-Nov
BMW,3 Series,2016,8,Automatic,second,Diesel,24-Nov
Chevrolet,Beat,2010,14,Manual,second,Petrol,24-Nov
Mercedes-Benz,GL-Class,2011,13,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Baleno,2018,6,Manual,first,Diesel,24-Nov
Hyundai,Creta,2018,6,Manual,second,Petrol,24-Nov
BMW,5 Series,2016,8,Automatic,second,Diesel,24-Nov
Volkswagen,Polo,2013,11,Manual,second,Diesel,24-Nov
Hyundai,Alcazar,2021,3,Automatic,second,Petrol,24-Nov
Hyundai,Creta,2022,2,Manual,first,Petrol,24-Nov
Volkswagen,Polo,2018,6,Manual,second,Petrol,24-Nov
Toyota,Etios Liva,2019,5,Manual,first,Diesel,24-Nov
Mahindra,KUV100 NXT,2017,7,Automatic,second,Petrol,24-Nov
Maruti Suzuki,Swift-Dzire,2020,4,Manual,second,Petrol,24-Nov
Hyundai,i20,2011,13,Manual,second,Petrol,24-Oct
Toyota,Innova Crysta,2018,6,Automatic,second,Diesel,24-Nov
Honda,City,2014,10,Manual,second,Diesel,24-Nov
MG,Gloster,2022,2,Automatic,first,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2011,13,Manual,second,Petrol,24-Nov
Hyundai,i20,2010,14,Manual,second,Diesel,24-Oct
BMW,X7,2024,0,Automatic,first,Petrol,24-Nov
BMW,5 Series,2018,6,Automatic,second,Petrol,24-Nov
Volkswagen,Polo,2019,5,Automatic,first,Petrol,24-Nov
Nissan,Terrano,2017,7,Automatic,second,Diesel,24-Nov
Mini,Cooper Countryman,2015,9,Automatic,second,Petrol,24-Nov
Mercedes-Benz,C-Class,2011,13,Automatic,second,Diesel,24-Nov
Ford,Figo,2011,13,Manual,second,Diesel,24-Nov
Toyota,Etios,2017,7,Manual,first,Diesel,24-Nov
Honda,Amaze,2019,5,Manual,first,Petrol,24-Nov
BMW,5 Series,2018,6,Automatic,second,Diesel,24-Oct
Hyundai,Alcazar,2021,3,Automatic,first,Diesel,24-Nov
MG,Hector,2019,5,Automatic,first,Petrol,24-Nov
Mercedes-Benz,GLA,2019,5,Automatic,second,Petrol,24-Oct
Volvo,S60 Cross Country,2016,8,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift-Dzire,2011,13,Manual,second,Petrol,24-Nov
Hyundai,Creta,2018,6,Automatic,first,Petrol,24-Nov
Hyundai,Verna,2013,11,Manual,second,Petrol,24-Nov
BMW,5 Series,2016,8,Automatic,second,Diesel,24-Nov
Maruti Suzuki,Swift,2013,11,Manual,second,Diesel,24-Oct
Tata,Nexon,2019,5,Manual,first,Petrol,24-Nov
Chevrolet,OptraSRV,2006,18,Automatic,second,Petrol,24-Nov
Skoda,Superb,2015,9,Automatic,second,Petrol,24-Nov
Hyundai,i10,2012,12,Manual,second,Petrol,24-Nov
Volkswagen,Polo,2015,9,Manual,first,Petrol,24-Nov
Mahindra,Scorpio,2019,5,Manual,second,Diesel,24-Oct
Hyundai,Fluidic Verna,2024,0,Automatic,second,Diesel,24-Nov
Ford,Ecosport,2021,3,Manual,first,Diesel,24-Nov
Toyota,Innova Crysta,2020,4,Automatic,second,Diesel,24-Nov
Toyota,Fortuner,2021,3,Automatic,first,Diesel,24-Nov
BMW,3 Series GT,2017,7,Automatic,first,Diesel,24-Nov
Toyota,Innova Crysta,2019,5,Automatic,first,Diesel,24-Nov
Toyota,Innova Crysta,2021,3,Automatic,first,Diesel,24-Nov
Hyundai,Eon,2012,12,Manual,second,Petrol,24-Nov
Mahindra,Marazzo,2019,5,Manual,first,Diesel,24-Nov
Maruti Suzuki,Omni,2015,9,Manual,second,Petrol,24-Nov
Maruti Suzuki,Wagon-R,2019,5,Automatic,second,Petrol,24-Nov
Skoda,Laura,2009,15,Manual,second,Diesel,24-Nov
Maruti Suzuki,Wagon-R,2004,20,Manual,second,Petrol,24-Nov
Volkswagen,VentoTest,2012,12,Automatic,second,Petrol,24-Nov
Mercedes-Benz,E-Class,2013,11,Automatic,second,Diesel,24-Nov
Mahindra,Bolero,2017,7,Automatic,second,Diesel,24-Nov
Mahindra,XUV500,2019,5,Manual,first,Diesel,24-Oct
Hyundai,Creta,2022,2,Manual,first,Diesel,24-Nov
Hyundai,Creta,2019,5,Automatic,second,Diesel,24-Nov
Hyundai,Aura,2021,3,Manual,second,Petrol,24-Nov
Hyundai,i20,2018,6,Manual,first,Petrol,24-Nov
BMW,7 Series,2018,6,Automatic,first,Petrol,24-Nov
Volkswagen,Polo,2015,9,Manual,first,Diesel,24-Nov
Toyota,Urban Cruiser Hyryder,2023,1,Automatic,first,Petrol,24-Nov
Maruti Suzuki,Grand Vitara,2024,0,Manual,first,Petrol,24-Nov
Hyundai,Verna,2014,10,Manual,second,Diesel,24-Nov
Volkswagen,Polo,2013,11,Automatic,first,Petrol,24-Nov
Maruti Suzuki,maruti-suzuki-brezza,2017,7,Manual,second,Diesel,24-Nov
BMW,3 Series,2013,11,Automatic,first,Diesel,24-Nov
Hyundai,i20,2011,13,Manual,second,Petrol,24-Nov
Tata,Safari Storme,2014,10,Manual,first,Diesel,24-Oct
Honda,City ZX,2020,4,Manual,first,Petrol,24-Nov
Maruti Suzuki,Ertiga,2022,2,Manual,second,Petrol,24-Nov
Hyundai,i20 Active,2015,9,Manual,second,Diesel,24-Nov
Toyota,Fortuner,2024,0,Manual,first,Diesel,24-Nov
Toyota,Innova,2012,12,Manual,second,Diesel,24-Nov
BMW,X1,2017,7,Automatic,second,Diesel,24-Sep
Maruti Suzuki,S-Cross,2019,5,Manual,first,Diesel,24-Nov
Toyota,Fortuner,2016,8,Manual,second,Diesel,24-Nov
Maruti Suzuki,Celerio,2022,2,Automatic,first,Diesel,24-Nov
Toyota,Innova,2012,12,Manual,second,Diesel,24-Nov
Maruti Suzuki,Zen-Estilo,2008,16,Automatic,second,Petrol,24-Nov
Honda,Jazz,2015,9,Manual,second,Diesel,24-Nov
Hyundai,Xcent,2015,9,Manual,first,Diesel,24-Nov
Renault,Duster,2017,7,Manual,second,Diesel,24-Nov
Honda,Civic,2007,17,Automatic,second,Petrol,24-Nov
Tata,Tiago,2018,6,Automatic,first,Petrol,24-Nov
Toyota,Urban Cruiser Hyryder,2023,1,Automatic,first,Petrol,24-Nov
